f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
c11,c0,c0,c7,53,1,c0,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,343,0,c6
c5,c1,c2,c0,48,17,c1,c0,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,27,0,c6
c0,c0,c0,c6,29,1,c0,c2,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8004,c0,401,1,c4
c1,c0,c0,c2,25,2,c1,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,212,0,c6
c6,c0,c0,c6,40,3,c0,c0,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,379,0,c3
c7,c1,c2,c2,28,1,c0,c4,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,646,0,c4
c10,c1,c2,c3,42,5,c1,c3,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9766,c1,188,0,c5
c7,c0,c2,c2,45,1,c1,c0,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,236,0,c6
c9,c1,c0,c5,49,1,c0,c1,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9135999999999997,c1,57,0,c4
c0,c0,c0,c6,31,1,c0,c3,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4456,c1,86,0,c10
c7,c1,c2,c3,51,2,c1,c0,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,94,0,c4
c9,c0,c0,c5,54,2,c1,c3,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,64,0,c7
c0,c0,c0,c6,32,2,c0,c3,c2,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,59,0,c7
c2,c0,c0,c6,40,3,c0,c2,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,279,0,c6
